Id,Text Tweet,Sentiment
66,jaring sinyal wilayah sidang kasih,Netral
67,terima kasih menang pointastic deal pointastic deal,Netral
68,nomor buang,Negatif
69,zalim,Netral
70,mantap,Positif
71,sinyal jelek komplain direspon boikot,Negatif
72,alhamdulillah kartu telpon kartu internetan pakai boikot,Positif
73,boikot bentuk tekan masyarakat usaha publik kelas hati hati depan,Negatif
74,alhamdulillah pakai boikot,Positif
75,mimpi pakai mimpi setia mahal ikut boikot,Negatif
76,aksi boikot pakai bagus maaf iklan nyata,Negatif
77,terbaik serta,Netral
78,teman hari telecommunication,Netral
79,jelek banget sinyal,Negatif
80,program gratis mahasiswa ajar liburan hacker intropeksi,Positif
81,internet mahal turun harga kuota,Negatif
82,pakai pakai rasa lambat mahal bareng kualitas,Negatif
83,webnya bajak bajak moga habis kuota spam promonya subur,Negatif
84,cs emang fast response keluh konsumen beda operator belah opini jual pulsa,Positif
85,prinsip murah sinyal alhamdulillah kencang kota,Positif
86,terbaik,Netral
87,kuota,Netral
88,mantap,Positif
89,kesini mahal jaring lelet pesan masuk penuh isi pesan promo nyedot pulsa,Negatif
90,tolong kensinya benerin wilayah keramat jati lambat,Negatif
91,sinyal kuat internetku lambat parah provider,Negatif
92,aman tingkat bikin rugi langgan,Negatif
93,harga jual rupiah kilobyte internet juara mahal tsel v,Negatif
94,jaring bangun jiwo kasihan bantul stabil kuota buang,Positif
95,customer bangun jiwo stabil,Positif
96,sinyal ping game segede sinyal tai,Negatif
98,malas banget harga mahal jaring free youtubenya pakai jamnya,Positif
99,gratisan senang kuota gratis,Positif
100,pindah provider kali internetan lambat dengar teman bagus,Positif
101,tolong laku reset nomor jaring lemah makan open page web lambat jaring,Negatif
102,kini bikin keki,Netral
103,cepat internet ciwidey gin mantap,Positif
104,jaring cimahi lambat kota lancar jaya,Positif
105,parah,Negatif
106,koneksi gprs,Positif
107,akses data camat,Positif
108,area udah tanggap,Netral
109,rekomendasi coba kuota minggu tes pakai twitter menit pulsa kurang langsung,Positif
110,nonton gratis dibayarin poin poin,Positif
111,pakai alhamdulillah manfaat sinyal gsm handphone simpati,Positif
112,terima kasih,Netral
113,mantap sms tarif,Positif
114,alhamdulillah beres pakai nunggu konfirmasi janji,Positif
115,terima kasih menang,Netral
116,asik kencang,Positif
117,terima kasih gratis ayo buru upgrade,Positif
118,upload video menit mantap cepat,Positif
119,bonus kuota menit nelpon operator,Positif
120,kuota aman capture kuotaaman kota,Netral
121,hemat,Netral
122,pakai kuota irit,Positif
123,buang sayang setia nomor bagus,Positif
124,rasa segitu besar ping ribu lumayan bukber,Positif
125,nulis serta hashtag lambat hidup dimana pakai lancar,Positif
126,pakai ribu giga dihack mahal,Negatif
127,mending pindah,Negatif
128,pakai jangkau pakai mahal,Negatif
129,telpon mumpung gratisan,Positif
130,tumben murah hati pada langgan diginikan,Positif
131,canggih nambah nambah kuota kuota,Netral
132,penuh bonus,Positif
133,sinyal hebat puncak mantap,Positif
134,nelpon kuota,Positif
135,betah operator,Netral
136,lumayan murah meriah,Positif
137,wow hadiah fantastis simpel,Positif
138,modal isi pulsa ribu gratis tumben moga promonya murah murah,Positif
139,ajaib min kartu isi pulsa terima kasih,Positif
140,mantap isi pulsa ribu bonus kuota data terima kasih layan mantap jiwa,Positif
141,terima kasih kuota data aktif normal terima kasih puas layan,Positif
142,usaha lupa konsumen hapus pesan baca salah thanks,Positif
143,terima kasih,Netral
144,hore sinyal thanks,Positif
145,alhamdulillah nunggu subuh lantun styles madinah kuota internet bagus,Positif
146,lihat youtube tahun kuota keren,Positif
147,jaring super cepat smartphone koneksi pantau aktivitas sosial medium,Positif
148,medsos bijak fasilitas oke kayak fb gratis mb free youtube yonder genflix,Positif
149,segar lari nikmatin internet nelpon super murah suara jernih pakai gitu,Positif
150,buka puasa streaming youtube lancar banget pakai setia,Positif
151,jaring luas teman nelpon operator gratis suara jernih banget,Positif
152,koneksi internet lancar bantu selesai pekerjaaan weekend,Positif
153,ayo penuh viralkan keras boikot nomor nomor cantik buang main umat islam bersatu,Negatif
154,ayo buang kartu ruh,Positif
155,pakai insya allah kuota kuota habis ganti operator boikot,Negatif
156,ceo tanggung counter perdana hp henti jual perdana boikot,Negatif
157,biar ajar pakai produk boikot,Negatif
158,boikot boikot nyedot pulsa tau pakai sms bayar bonus maksa,Negatif
159,lumayan speedtest jaring area puas,Positif
160,uji cepat open signal ku jelek,Positif
161,tolong urus bayar data datanya,Negatif
162,nonton gratis dibayarin poin poin passenger,Positif
163,makasih gratis ayo buru upgrade mu,Positif
164,makan malam gratis hasil tukar poin eleven sevel,Positif
165,mohon jaring wilayah buruk,Negatif
166,jaring waru area site wkp telpon mohon cek team,Positif
167,kualitas layan buruk lapor tindak baik,Positif
168,tolong jaring muara kam baik bbm ngakses sambung melulu,Positif
169,uji cepat nyata jelek,Positif
170,tolong urus bayar data datanya,Negatif
171,lumayan speedtest jaring area puas,Positif
173,makan malam gratis hasil tukar poin,Positif
174,ayo viralkan keras boikot nomor nomor cantik buang main umat islam bersatu,Negatif
176,pakai insya allah kuota kuota habis ganti operator boikot,Negatif
177,boikot boikot sedot pulsa tau pakai sms bayar bonus maksa,Negatif
178,buka puasa streaming youtube lancar banget pakai setia,Positif
179,koneksi internet lancar bantu selesai pekerjaaan weekend,Positif
180,sinyal php,Netral
181,koneksi internet jengkel lambat,Positif
182,nelpon murah pakai rupiah detik,Positif
183,terima kasih pt kiriman gratis home,Positif
184,kualitas sinyal lengkap meriah festival,Positif
185,pindah bukti,Negatif
186,sinyal palsu edge,Netral
187,langgan area kota rugi jaring telpon rusak baik,Positif
188,hati hati tukang tipu,Netral
189,sedih pakai stabil,Positif
190,jarigan lelet ganggu rusak,Negatif
191,daerah jaga karsa pakai sinyal jelek sinyal,Negatif
192,cacat,Netral
193,koneksi internet,Positif
194,berkah susah sentuh mudah faedah,Positif
195,tumbang kota,Netral
196,kuota internetan care,Positif
197,lambat,Negatif
198,bagi berkah bagi senang orang sayang,Positif
199,santai pakai berkah andal,Positif
200,setia,Positif
201,ken selang maju layanan jaring,Netral
202,pakai gratis,Positif
203,lebaran pakai gratis,Positif
204,sinyal lancar,Positif
205,keren sinyal,Positif
206,sinyal kuat banget,Positif
207,banget,Positif
208,berkat mudik nyaman mampir posko senang,Positif
209,terima kasih,Netral
210,untung pakai,Positif
211,alhamdulillah setia terbaik,Positif
212,murah bonus,Positif
213,kuota habis ganti provider,Negatif
214,jancok sinyal payah,Negatif
215,pakai,Positif
216,minta maaf nyata apa boikot boikot,Negatif
217,kuota malam habis duluan logika dimana,Negatif
218,jaring penuh konek internet,Positif
219,sinyal stabil mantap,Positif
220,fungsi data lokal flash pakai duluan data lokal mahal,Positif
221,hore makan malam gratis poin eleven sevel,Positif
222,wajar dihack harga mahal banget koneksi lambat mahal,Negatif
223,ganti kuota langsung lancar transaksi normal,Positif
224,indonesia konsumen,Positif
225,alhamdulillah gratisan youtube ramadhan faedah,Positif
226,sinyal hilang mulu,Negatif
227,data manfaat,Positif
228,goblok banget murahan,Positif
229,udah settingan kuota pakai uras pulsa,Positif
230,mahal sinyal jelek bangsat anjing,Negatif
231,jelek jaring internet,Negatif
232,area kota jaring buruk jelek jadi bulan care payah dihack,Negatif
233,kacau isi kuota datanya langsung habis,Positif
234,ayo,Positif
235,mending ngopi nyantai dengar musik klasik youtube gratis jaring keren,Positif
236,fitur kartu perdana udah youtube,Positif
237,masuk kerja dikerjain ujung mencari lapak rebah dengar musik youtube top,Positif
238,enak belanja online sinyal kuat kencang pakai,Positif
239,mantap kuota bikin mupeng,Positif
240,bonus thr bonus bikin hati senang,Positif
241,sahur sinyal bagus banget,Positif
242,astaga udah asyik main ponsel sinyal lancar hebat emang,Positif
243,kadang cari referensi youtube gudang informasi keren youtube kuota streaming lancar,Positif
244,ajar edit video youtube enak cepat paham jaring lancar kencang,Positif
245,tethering pakai kartu sinyal kencang badai browsing mencari bahan artikel dijamin lancar,Positif
246,pakai produk boikot boikot,Negatif
247,ayo pakai kartu buang got,Positif
248,boikot hijrah selamat tinggal,Negatif
249,alhamdulillah kuota murah,Positif
250,tarif mahal tambah jaring susah kesal banget,Negatif
251,pulsa nelpon simpati pulsa kampret,Positif
252,sinyal rumah lancar,Positif
253,harap bagus kerja online internetnya simpat namanya,Positif
255,kualitas jaring turun wilayah,Positif
256,keluh sinyal layan jaring internet,Positif
257,malam jaring super lelet kualitas,Positif
258,sinyal sedih,Netral
259,bangsat dibiarin,Negatif
260,bangsat gemas,Negatif
261,signal mentari prihatin pikir ganti kartu kecewa,Netral
262,ganggu daerah kramat jati sumpah lelet banget,Negatif
263,super lelet cepat kb ganggu gimana,Positif
264,tai,Negatif
265,allah hujan sinyal kaya lagunya kotak pelan pelan,Positif
266,bikin kelar,Netral
267,manfaat beli kuota tonton youtube rugi kuota,Negatif
268,daerah udah trouble mulu,Negatif
269,sisa kuota dibilang habis gimana,Negatif
270,jaring simpati anjir banget,Positif
271,tai,Negatif
272,untung pakai rumah alhamdulillah urus beres,Positif
273,jaring flash daerah aceh singkil stabil,Positif
274,tarif mahal sinyal parah,Negatif
275,minggu digangguin bunyi sms promo,Positif
276,jaring,Netral
277,jam malam hancur koneksi,Positif
278,sedih beli kuota internet,Positif
279,hobi ngecek kali promo kuota internet guna setia alhamdulillah rezeki anak,Positif
280,dihack mahal,Negatif
281,jaring lelet,Negatif
282,ganggu,Negatif
283,hancur jaring,Netral
284,isi pulsa pakai hilang mohon jelas,Positif
285,bikin sebal,Netral
286,masalah,Netral
287,parah buang kuota payah,Negatif
288,koneksi lancar pakai,Positif
289,pakai sinyal lancar yess,Positif
290,data data kerja cepat cari internetnya pakai,Positif
291,juara nonton youtube kuota full xd,Positif
292,nikmat dapat guna tonton youtube gratis tahun,Positif
293,upload file mudah jaring internetnya cepat alhamdulillah,Positif
294,untung pakai kerja lancar,Positif
295,nyoba bonus telpon pakai kartu aman lancar jaya suara cuaca hujan,Positif
296,pantesan lancar sinyal lancar lombok,Positif
297,alhamdulillah lancar pakai,Positif
298,untung pakai internet lancar ide,Positif
299,ramai lokasi jaya,Positif
300,sinyal amsyong stadion,Netral
